Check Number,Date,Amount
3514,2025-01-10,
3515,2025-01-17,
3516,2025-01-23,
3517,2025-01-30,
3518,2025-02-07,
3519,2025-02-14,
3520,2025-02-21,
3521,2025-02-28,
3522,2025-03-07,
3523,2025-03-14,
3524,2025-03-21,
3525,2025-03-27,
3526,2025-04-04,
3527,2025-04-11,
3528,2025-04-18,
3529,2025-04-25,
3530,2025-05-02,
3531,2025-05-09,
3532,2025-05-15,
3533,2025-05-22,
3534,2025-05-29,
3535,2025-06-05,
3536,2025-06-12,
3537,2025-06-20,
3538,2025-06-27,
3604,2025-01-13,
3665,2025-01-07,
3666,2025-01-07,
3667,2025-01-07,
3668,2025-01-07,
3669,2025-01-07,
3670,2025-01-09,
3671,2025-01-09,
3672,2025-01-09,
3673,2025-01-09,
3674,2025-01-09,
3675,2025-01-09,
3676,2025-01-09,
3677,2025-01-09,
3678,2025-01-09,
3679,2025-01-09,
3680,2025-01-10,
3681,2025-01-10,
3682,2025-01-10,
3683,2025-01-10,
3684,2025-01-10,
3685,2025-01-14,
3686,2025-01-14,
3687,2025-01-14,
3688,2025-01-14,
3689,2025-01-14,
3690,2025-01-14,
3691,2025-01-14,
3692,2025-01-14,
3693,2025-01-14,
3694,2025-01-14,
3695,2025-01-14,
3696,2025-01-14,
3697,2025-01-16,
3698,2025-01-16,
3699,2025-01-16,
3700,2025-01-16,
3701,2025-01-16,
3702,2025-01-16,
3703,2025-01-16,
3704,2025-01-16,
3705,2025-01-16,
3706,2025-01-16,
3707,2025-01-31,
3708,2025-01-21,
3709,2025-01-21,
3710,2025-01-21,
3711,2025-01-21,
3712,2025-01-21,
3713,2025-01-21,
3714,2025-01-21,
3715,2025-01-21,
3716,2025-01-21,
3717,2025-01-21,
3718,2025-01-21,
3719,2025-01-21,
3720,2025-01-21,
3721,2025-01-21,
3722,2025-01-21,
3723,2025-01-21,
3724,2025-01-22,
3725,2025-01-22,
3726,2025-01-22,
3727,2025-01-23,
3728,2025-01-23,
3729,2025-01-23,
3730,2025-01-23,
3731,2025-01-23,
3732,2025-01-23,
3733,2025-01-23,
3734,2025-01-23,
3735,2025-01-27,
3736,2025-01-27,
3737,2025-01-27,
3739,2025-01-27,
3740,2025-01-27,
3742,2025-01-27,
3743,2025-01-27,
3744,2025-01-27,
3745,2025-01-27,
3746,2025-01-27,
3748,2025-01-29,
3749,2025-01-29,
3750,2025-01-29,
3751,2025-01-29,
3752,2025-01-29,
3753,2025-01-29,
3754,2025-01-29,
3755,2025-01-31,
3756,2025-01-30,
3758,2025-01-29,
3759,2025-01-30,
3760,2025-01-30,
3761,2025-01-30,
3762,2025-01-30,
3763,2025-01-31,
3764,2025-02-03,
3765,2025-02-03,
3766,2025-02-03,
3767,2025-02-03,
3768,2025-02-03,
3769,2025-02-03,
3770,2025-02-03,
3771,2025-02-03,
3772,2025-02-03,
3773,2025-02-03,
3774,2025-02-03,
3775,2025-02-03,
3776,2025-02-03,
3777,2025-02-03,
3778,2025-04-23,
3779,2025-02-05,
3780,2025-02-06,
3781,2025-02-06,
3782,2025-02-06,
3783,2025-02-06,
3784,2025-02-06,
3785,2025-02-06,
3786,2025-02-06,
3787,2025-02-06,
3788,2025-02-06,
3789,2025-02-06,
3790,2025-02-06,
3791,2025-02-06,
3792,2025-02-11,
3793,2025-02-11,
3794,2025-02-11,
3795,2025-02-11,
3796,2025-02-11,
3797,2025-02-11,
3798,2025-02-11,
3799,2025-02-11,
